"",cancer,gene,cutoff_value
166,CESC,CHAD,5.09510181027569
167,SARC,CHAD,4.96600438721401
168,BRCA,CHAD,6.62860417939964
169,THYM,CHAD,4.67359557403048
170,MESO,CHAD,4.89158698850192
171,COAD,CHAD,3.22222601303524
172,STAD,CHAD,4.59222941270941
173,SKCM,CHAD,4.31437196336652
174,CHOL,CHAD,4.94615405975468
175,KIRC,CHAD,4.08117166226636
176,THCA,CHAD,4.25071980037427
177,HNSC,CHAD,2.80192873002088
178,LAML,CHAD,3.7018177805842
179,READ,CHAD,5.77281135778612
180,LGG,CHAD,3.81515772007226
181,DLBC,CHAD,1.72000617654888
182,KICH,CHAD,4.11621576571519
183,UCS,CHAD,3.47087379509979
184,ACC,CHAD,5.01493114597897
185,PCPG,CHAD,2.72015493201075
186,UVM,CHAD,2.55262298869152
187,GBM,COL15A1,6.64204490291779
188,OV,COL15A1,8.55293030783115
189,LUAD,COL15A1,8.34083332825958
190,LUSC,COL15A1,8.7223075837867
191,PRAD,COL15A1,9.99576501123843
192,UCEC,COL15A1,9.35870162953699
193,BLCA,COL15A1,9.25386094001249
194,TGCT,COL15A1,9.86561981850519
195,ESCA,COL15A1,10.3979905683827
196,PAAD,COL15A1,10.9968166371898
197,KIRP,COL15A1,8.13992009425317
198,LIHC,COL15A1,8.04278620801919
199,CESC,COL15A1,8.95029706195274
200,SARC,COL15A1,11.0311028937223
201,BRCA,COL15A1,10.8094602006288
202,THYM,COL15A1,9.22788366436388
203,MESO,COL15A1,10.7131697455647
204,COAD,COL15A1,10.1725190617206
205,STAD,COL15A1,11.2153831522519
206,SKCM,COL15A1,10.4273096863949
207,CHOL,COL15A1,7.82673407606255
208,KIRC,COL15A1,10.144558893861
209,THCA,COL15A1,9.19571417249719
210,HNSC,COL15A1,9.30554323018375
211,LAML,COL15A1,1.67311017293511
212,READ,COL15A1,10.2399428970104
213,LGG,COL15A1,4.75213293881322
214,DLBC,COL15A1,10.4552802403308
215,KICH,COL15A1,9.17601951074364
216,UCS,COL15A1,9.98198854220239
217,ACC,COL15A1,10.2735822241791
218,PCPG,COL15A1,8.72679842361483
219,UVM,COL15A1,6.04357766652789
220,GBM,COL18A1,10.9299461327437
221,OV,COL18A1,12.0696922020666
222,LUAD,COL18A1,10.7328359475286
223,LUSC,COL18A1,11.6773369227895
224,UCEC,COL18A1,13.231235226832
225,BLCA,COL18A1,11.3212428430197
226,TGCT,COL18A1,11.9556054146298
227,ESCA,COL18A1,11.8292941459214
228,PAAD,COL18A1,12.7316085817374
229,CESC,COL18A1,11.3577613204003
230,SARC,COL18A1,12.2633624782931
231,BRCA,COL18A1,11.3715847246427
232,THYM,COL18A1,12.8309150670346
233,MESO,COL18A1,12.8818429072964
234,COAD,COL18A1,10.3340001824732
235,STAD,COL18A1,11.6821249928697
236,SKCM,COL18A1,10.6993432752928
237,HNSC,COL18A1,11.5964432336477
238,LAML,COL18A1,9.46778945740347
239,READ,COL18A1,11.3933669250959
240,LGG,COL18A1,11.0639081455813
241,KICH,COL18A1,11.836295619214
242,UCS,COL18A1,12.4617138142631
243,ACC,COL18A1,11.9823771322758
244,PCPG,COL18A1,12.4223976987288
245,UVM,COL18A1,12.1370753464717
246,GBM,CSPG4,10.597762496095
247,OV,CSPG4,7.99486190400272
248,LUAD,CSPG4,8.54143860655896
249,LUSC,CSPG4,10.0458101378613
250,PRAD,CSPG4,8.46829724499105
251,UCEC,CSPG4,8.61824427249659
252,BLCA,CSPG4,10.0166481844624
253,TGCT,CSPG4,9.17093868109049
254,ESCA,CSPG4,10.5773891360369
255,PAAD,CSPG4,10.2215433103214
256,KIRP,CSPG4,7.23908293787022
257,LIHC,CSPG4,8.10073916986241
258,CESC,CSPG4,9.11961782790558
259,SARC,CSPG4,11.0668707481873
260,BRCA,CSPG4,9.31255577924601
261,THYM,CSPG4,8.2747526417681
262,MESO,CSPG4,9.55577000315635
263,COAD,CSPG4,8.49075170849686
264,STAD,CSPG4,10.4679486061973
265,SKCM,CSPG4,12.8063151311251
266,CHOL,CSPG4,8.6519423615495
267,KIRC,CSPG4,10.8863929310451
268,THCA,CSPG4,8.69849945293833
269,HNSC,CSPG4,10.3620124164926
270,LAML,CSPG4,7.49779633144868
271,READ,CSPG4,8.88813775226236
272,LGG,CSPG4,10.7322431946761
273,DLBC,CSPG4,6.71832068057261
274,KICH,CSPG4,9.47307060217059
275,UCS,CSPG4,8.69204295580079
276,ACC,CSPG4,8.47065868718138
277,PCPG,CSPG4,10.3991623540589
278,UVM,CSPG4,12.9402292367049
279,GBM,DCN,12.0960109171266
280,OV,DCN,9.88417297653263
281,LUAD,DCN,12.090956772126
282,LUSC,DCN,12.5483396252629
283,PRAD,DCN,11.2332071285386
284,UCEC,DCN,8.47593986294722
285,BLCA,DCN,10.8275754210331
286,TGCT,DCN,7.84773879711212
287,ESCA,DCN,11.5602569358781
288,PAAD,DCN,11.5887582466439
289,KIRP,DCN,6.99582596730322
290,LIHC,DCN,9.14851545114076
291,CESC,DCN,7.94526326836451
292,SARC,DCN,13.1739343074428
293,BRCA,DCN,11.8871858149547
294,THYM,DCN,8.60060371538559
295,MESO,DCN,13.1948941877487
296,COAD,DCN,10.3586169595739
297,STAD,DCN,12.4489052896231
298,SKCM,DCN,8.88829366153146
299,CHOL,DCN,9.50130363505172
300,KIRC,DCN,8.11589420437987
301,THCA,DCN,7.81813458133906
302,HNSC,DCN,11.42783320838
303,LAML,DCN,3.91137865936941
304,READ,DCN,11.2883732528629
305,LGG,DCN,10.1334831609166
306,DLBC,DCN,10.0580848715767
307,KICH,DCN,7.15945755428667
308,UCS,DCN,11.0836823966673
309,ACC,DCN,9.18073229405773
310,PCPG,DCN,8.41688214663938
311,UVM,DCN,5.2438030208714
312,GBM,ECM2,8.56929747405867
313,OV,ECM2,5.4180992616476
314,LUAD,ECM2,6.99333449526757
315,LUSC,ECM2,6.5602063766095
316,PRAD,ECM2,7.14351413877355
317,UCEC,ECM2,5.60601373024672
318,BLCA,ECM2,5.6619365664354
319,TGCT,ECM2,6.20547006486633
320,ESCA,ECM2,5.93356467183294
321,PAAD,ECM2,6.81814885142809
322,KIRP,ECM2,5.71799980537295
323,LIHC,ECM2,7.93593356413125
324,CESC,ECM2,5.62674738617478
325,SARC,ECM2,7.77809965444585
326,BRCA,ECM2,8.36958176678933
327,THYM,ECM2,4.69745488941833
328,MESO,ECM2,8.2754927709782
329,COAD,ECM2,5.730602992204
330,STAD,ECM2,6.47520868909522
331,SKCM,ECM2,5.78297909219041
332,CHOL,ECM2,6.4065838895506
333,KIRC,ECM2,8.41943000147696
334,THCA,ECM2,6.33531028709143
335,HNSC,ECM2,7.40982071797477
336,LAML,ECM2,4.67664997675006
337,READ,ECM2,6.62238556761414
338,LGG,ECM2,8.25956908475728
339,DLBC,ECM2,4.81544786612294
340,KICH,ECM2,6.11918038893073
341,UCS,ECM2,6.55913540071227
342,ACC,ECM2,6.31995422704112
343,PCPG,ECM2,7.78864678414936
344,UVM,ECM2,4.99147629241744
345,GBM,EPYC,2.88807879006603
346,OV,EPYC,3.56689072132993
347,LUAD,EPYC,1.87508279572603
348,LUSC,EPYC,2.19306943832437
349,PRAD,EPYC,2.43197154094834
350,UCEC,EPYC,2.0267339690189
351,BLCA,EPYC,3.45778318376261
352,TGCT,EPYC,2.73087552239281
353,ESCA,EPYC,1.43857921777517
354,PAAD,EPYC,4.57186549780773
355,CESC,EPYC,2.65420867259334
356,SARC,EPYC,2.30051132795058
357,BRCA,EPYC,3.17610334705302
358,THYM,EPYC,3.27970602015657
359,MESO,EPYC,3.79716716160003
360,COAD,EPYC,3.63808015294128
361,STAD,EPYC,3.12217795823254
362,SKCM,EPYC,1.82551348417215
363,CHOL,EPYC,2.95363286767631
364,KIRC,EPYC,2.58412036876828
365,THCA,EPYC,3.19146632872952
366,HNSC,EPYC,2.23777203342212
367,READ,EPYC,1.97061681446693
368,DLBC,EPYC,3.38920765875583
369,UCS,EPYC,4.19984216485954
370,ACC,EPYC,2.82070697743985
371,GBM,FMOD,9.99345683000872
372,OV,FMOD,10.6006116774408
373,LUAD,FMOD,10.3243638579117
374,LUSC,FMOD,9.09998380041811
375,PRAD,FMOD,10.9593983191903
376,UCEC,FMOD,9.06623037155805
377,BLCA,FMOD,8.40529563139143
378,TGCT,FMOD,9.99379113309974
379,ESCA,FMOD,9.623756733447
380,PAAD,FMOD,10.8333157029425
381,KIRP,FMOD,7.12615861475659
382,LIHC,FMOD,6.85241805234129
383,CESC,FMOD,8.25396734051421
384,SARC,FMOD,10.2625433761277
385,BRCA,FMOD,8.99597919797082
386,THYM,FMOD,9.3738319529244
387,MESO,FMOD,9.28234734538789
388,COAD,FMOD,8.66203858189664
389,STAD,FMOD,10.7835030485673
390,SKCM,FMOD,10.7744847215889
391,CHOL,FMOD,9.67072894541213
392,KIRC,FMOD,8.9058423725753
393,THCA,FMOD,11.1672339178222
394,HNSC,FMOD,9.38196154154336
395,LAML,FMOD,3.29191377675168
396,READ,FMOD,10.1863814437056
397,LGG,FMOD,6.80642993378964
398,DLBC,FMOD,9.2389606532601
399,KICH,FMOD,6.27956882874869
400,UCS,FMOD,9.7883965185645
401,ACC,FMOD,7.0237331263203
402,PCPG,FMOD,6.86517359099423
403,UVM,FMOD,8.41518751851552
404,GBM,GPC1,10.010575042944
405,OV,GPC1,9.845286569367
406,LUAD,GPC1,8.75572034857148
407,LUSC,GPC1,11.3979262546352
408,UCEC,GPC1,10.7509742717996
409,BLCA,GPC1,10.822327742815
410,ESCA,GPC1,11.7298358252511
411,PAAD,GPC1,10.1752115274872
412,KIRP,GPC1,10.898705385144
413,LIHC,GPC1,9.59146910399624
414,CESC,GPC1,11.3760088798226
415,SARC,GPC1,11.3284942606132
416,BRCA,GPC1,10.3618079882747
417,THYM,GPC1,11.7652473069553
418,COAD,GPC1,7.45968042744035
419,STAD,GPC1,9.28922500597868
420,SKCM,GPC1,8.78212410600902
421,KIRC,GPC1,8.93582153650045
422,HNSC,GPC1,12.28884318593
423,LAML,GPC1,6.63118148209956
424,READ,GPC1,9.44370517507566
425,UCS,GPC1,12.2821146339787
426,ACC,GPC1,12.2741073933668
427,PCPG,GPC1,10.5366626651874
428,GBM,GPC2,7.76077622286022
429,OV,GPC2,5.85672609409301
430,LUAD,GPC2,5.83603123621751
431,LUSC,GPC2,5.10324180786872
432,PRAD,GPC2,4.22546016883786
433,UCEC,GPC2,6.00315855292647
434,BLCA,GPC2,5.95738527529316
435,TGCT,GPC2,8.0432782350819
436,ESCA,GPC2,4.55200365900916
437,PAAD,GPC2,4.20067026985507
438,KIRP,GPC2,3.74014638414768
439,LIHC,GPC2,4.04037650045175
440,CESC,GPC2,4.93290658089442
441,SARC,GPC2,5.87629019587572
442,BRCA,GPC2,5.20425787752148
443,THYM,GPC2,7.59348585175342
444,MESO,GPC2,4.90182016777018
445,COAD,GPC2,3.86131025961851
446,STAD,GPC2,4.45264047329307
447,SKCM,GPC2,6.23368696108225
448,CHOL,GPC2,4.90217356966693
449,KIRC,GPC2,2.99109103464646
450,THCA,GPC2,3.10502280638146
451,HNSC,GPC2,4.70703538978433
452,LAML,GPC2,5.0538312856514
453,READ,GPC2,4.27339642837343
454,LGG,GPC2,7.32942234456155
455,DLBC,GPC2,5.92481714427227
456,KICH,GPC2,3.83243413318544
457,UCS,GPC2,7.82303484275781
458,ACC,GPC2,4.57728655448204
459,PCPG,GPC2,4.62086269142842
460,UVM,GPC2,3.60618938786446
461,GBM,GPC3,7.30534260041396
462,OV,GPC3,8.92624447964307
463,LUAD,GPC3,7.82766915151782
464,LUSC,GPC3,9.92903294803034
465,PRAD,GPC3,6.81554716478499
466,UCEC,GPC3,7.49531108280432
467,BLCA,GPC3,7.62095800519713
468,TGCT,GPC3,8.0009663588391
469,ESCA,GPC3,7.31169195134168
470,PAAD,GPC3,6.32115713570305
471,KIRP,GPC3,6.57714902108319
472,LIHC,GPC3,10.4219363800137
473,CESC,GPC3,6.02961863901543
474,SARC,GPC3,8.05447167453328
475,BRCA,GPC3,7.25549337825934
476,THYM,GPC3,6.56424083965805
477,MESO,GPC3,8.09982870773998
478,COAD,GPC3,5.51540141009865
479,STAD,GPC3,7.27165330013613
480,SKCM,GPC3,9.22998263376601
481,CHOL,GPC3,9.35717741396492
482,KIRC,GPC3,6.0447173044759
483,THCA,GPC3,4.27018405136711
484,HNSC,GPC3,7.64660289477167
485,LAML,GPC3,2.35611437579948
486,READ,GPC3,6.90098333444786
487,LGG,GPC3,5.0652833693519
488,DLBC,GPC3,3.59021326790878
489,KICH,GPC3,8.17205316317507
490,UCS,GPC3,8.74661645387204
491,ACC,GPC3,8.54492361584148
492,PCPG,GPC3,7.02309083360242
493,UVM,GPC3,4.11666681521057
494,GBM,GPC4,9.54007207955594
495,OV,GPC4,7.6639969466458
496,LUAD,GPC4,9.51307407077277
497,LUSC,GPC4,9.35322651222935
498,PRAD,GPC4,7.8979023441044
499,UCEC,GPC4,8.52343865517599
500,BLCA,GPC4,8.27173670133792
501,TGCT,GPC4,8.37750038878789
502,ESCA,GPC4,8.05924623944037
503,PAAD,GPC4,9.10150216949211
504,KIRP,GPC4,10.5536921172177
505,LIHC,GPC4,6.16473663728493
506,CESC,GPC4,7.43239058421407
507,SARC,GPC4,7.81661767047849
508,BRCA,GPC4,9.07491369355361
509,THYM,GPC4,9.42679515188616
510,MESO,GPC4,8.64421126288989
511,COAD,GPC4,9.24488246561029
512,STAD,GPC4,8.85364619146096
513,SKCM,GPC4,6.62397336345599
514,CHOL,GPC4,7.96959254166423
515,KIRC,GPC4,9.69321301672622
516,HNSC,GPC4,7.7420173750133
517,LAML,GPC4,5.8472766544697
518,LGG,GPC4,8.98726493052718
519,DLBC,GPC4,5.81091773327247
520,KICH,GPC4,7.48599533113878
521,UCS,GPC4,9.00068231260139
522,ACC,GPC4,8.45393347149667
523,PCPG,GPC4,5.91716126245246
524,UVM,GPC4,5.18095846892514
525,GBM,GPC5,6.18689687477229
526,OV,GPC5,3.58233908775666
527,LUAD,GPC5,3.07875627455059
528,LUSC,GPC5,2.19507556917384
529,PRAD,GPC5,3.83370650956845
530,UCEC,GPC5,2.61307255873392
531,TGCT,GPC5,2.62971632699115
532,ESCA,GPC5,2.69862276952662
533,PAAD,GPC5,3.08066972264032
534,KIRP,GPC5,2.97658470657161
535,LIHC,GPC5,3.51588456403927
536,CESC,GPC5,2.41395541491007
537,SARC,GPC5,1.62501388615216
538,BRCA,GPC5,1.50657036305273
539,MESO,GPC5,1.75067192303092
540,COAD,GPC5,2.29991569539889
541,STAD,GPC5,1.87394416534906
542,SKCM,GPC5,1.40053935553996
543,CHOL,GPC5,1.89806452525927
544,KIRC,GPC5,1.61841296872081
545,THCA,GPC5,3.34585034997573
546,HNSC,GPC5,3.16075802093948
547,LAML,GPC5,2.36805756623144
548,READ,GPC5,2.48499189571539
549,LGG,GPC5,5.89334320164497
550,DLBC,GPC5,3.50333680765541
551,KICH,GPC5,3.06021517051697
552,UCS,GPC5,3.36163149918017
553,ACC,GPC5,3.21810727442594
554,PCPG,GPC5,5.0179119887692
555,GBM,GPC6,7.00972453470717
556,OV,GPC6,6.74694945529529
557,LUAD,GPC6,7.91026303836065
558,LUSC,GPC6,6.63916493541401
559,PRAD,GPC6,8.01987402370822
560,UCEC,GPC6,6.35036327492866
561,BLCA,GPC6,6.04481923992948
562,TGCT,GPC6,7.7390499128405
563,ESCA,GPC6,7.57000717006731
564,PAAD,GPC6,8.86527167984209
565,KIRP,GPC6,8.7370042167045
566,LIHC,GPC6,9.01287850185463
567,CESC,GPC6,5.1188758986174
568,SARC,GPC6,8.61544145282061
569,BRCA,GPC6,6.50891214942555
570,THYM,GPC6,6.43338767387661
571,MESO,GPC6,8.44814339940551
572,COAD,GPC6,6.4216589067277
573,STAD,GPC6,7.94560681870057
574,SKCM,GPC6,7.43272099481769
575,CHOL,GPC6,8.21412219592537
576,KIRC,GPC6,9.91232367589969
577,THCA,GPC6,6.13878806867594
578,HNSC,GPC6,6.43739627703232
579,LAML,GPC6,3.77627163170665
580,READ,GPC6,7.14603926198303
581,LGG,GPC6,7.60274080374177
582,DLBC,GPC6,4.95857243564096
583,KICH,GPC6,8.52924101881696
584,UCS,GPC6,6.72894419963223
585,ACC,GPC6,5.70063992308559
586,PCPG,GPC6,6.74059720354705
587,UVM,GPC6,4.02856825875751
588,GBM,HSPG2,10.600553152865
589,OV,HSPG2,11.8874576136758
590,LUAD,HSPG2,11.9251643803397
591,LUSC,HSPG2,11.0308340791956
592,UCEC,HSPG2,12.9536080901309
593,BLCA,HSPG2,12.3299582751992
594,TGCT,HSPG2,12.1460194238658
595,ESCA,HSPG2,11.8277060153741
596,KIRP,HSPG2,12.5418838315655
597,LIHC,HSPG2,11.301036813535
598,CESC,HSPG2,10.8964979566667
599,SARC,HSPG2,13.348677470982
600,BRCA,HSPG2,11.9203606764143
601,THYM,HSPG2,11.1451505728204
602,MESO,HSPG2,13.0534948469763
603,COAD,HSPG2,11.5295748372429
604,STAD,HSPG2,13.4246327835181
605,SKCM,HSPG2,12.9962656166583
606,KIRC,HSPG2,12.7168936614806
607,HNSC,HSPG2,12.7783066738604
608,LAML,HSPG2,10.1318786772713
609,READ,HSPG2,12.4916758789023
610,LGG,HSPG2,9.174601171271
611,DLBC,HSPG2,10.8783905561455
612,ACC,HSPG2,12.4599815965774
613,PCPG,HSPG2,12.8460999758524
614,UVM,HSPG2,12.2924602985519
615,GBM,KERA,1.10689020265534
616,OV,KERA,2.07179633562366
617,LUAD,KERA,1.56352632606989
618,LUSC,KERA,1.37786149059518
619,UCEC,KERA,2.56298403977153
620,BLCA,KERA,1.72976962604409
621,TGCT,KERA,3.580276508748
622,ESCA,KERA,1.46143039623942
623,PAAD,KERA,2.25511844379674
624,SARC,KERA,3.64279868790784
625,BRCA,KERA,3.59157709055059
626,THYM,KERA,2.58216564331215
627,MESO,KERA,4.42957479969081
628,COAD,KERA,1.71255993412069
629,STAD,KERA,1.28604183109459
630,SKCM,KERA,0.818572855311198
631,CHOL,KERA,2.93271350012124
632,KIRC,KERA,2.31504240590878
633,THCA,KERA,1.66446186519607
634,HNSC,KERA,1.27439460257763
635,READ,KERA,1.9160813812198
636,UCS,KERA,5.22983752759199
637,ACC,KERA,3.79780687317284
638,GBM,LUM,10.5357511203133
639,OV,LUM,11.9955010247103
640,LUAD,LUM,12.7030634949446
641,LUSC,LUM,12.3867374048556
642,PRAD,LUM,11.2456414163772
643,UCEC,LUM,9.44379165925378
644,BLCA,LUM,11.1240888342997
645,TGCT,LUM,7.587001774849
646,ESCA,LUM,12.3565175694409
647,PAAD,LUM,11.8292434696276
648,KIRP,LUM,6.80110310898213
649,LIHC,LUM,8.15093685318254
650,CESC,LUM,9.28687412505433
651,SARC,LUM,11.8529734407338
652,BRCA,LUM,12.5501265114989
653,THYM,LUM,6.10868929433751
654,MESO,LUM,13.8058592305133
655,COAD,LUM,11.0140592834421
656,STAD,LUM,12.6520243274639
657,SKCM,LUM,8.93233282887739
658,CHOL,LUM,11.1711451550938
659,KIRC,LUM,8.34461419819277
660,THCA,LUM,7.59230257567929
661,HNSC,LUM,12.1485802467518
662,LAML,LUM,3.76777244611151
663,READ,LUM,12.0368762259656
664,LGG,LUM,5.6794122211696
665,DLBC,LUM,10.5665192106622
666,KICH,LUM,6.35151135513268
667,UCS,LUM,11.7808093730247
668,ACC,LUM,6.21787488352545
669,PCPG,LUM,7.02937694155582
670,UVM,LUM,4.0314585806914
671,GBM,NCAN,10.4331130519012
672,OV,NCAN,2.6620554937691
673,LUAD,NCAN,2.14266961831542
674,LUSC,NCAN,2.10666933662291
675,PRAD,NCAN,1.77610141628808
676,UCEC,NCAN,2.23581165941771
677,BLCA,NCAN,0.724506771948791
678,TGCT,NCAN,5.7018984061631
679,ESCA,NCAN,1.36509366849344
680,PAAD,NCAN,2.25897044085663
681,KIRP,NCAN,1.88972261229934
682,LIHC,NCAN,4.78985877887481
683,CESC,NCAN,1.52558351519836
684,SARC,NCAN,2.32606764986504
685,BRCA,NCAN,2.8258853175286
686,MESO,NCAN,1.62353397403158
687,STAD,NCAN,1.43297431464923
688,SKCM,NCAN,1.13023986281949
689,THCA,NCAN,2.1792357110173
690,HNSC,NCAN,1.60336669120928
691,LGG,NCAN,12.6681032612378
692,DLBC,NCAN,3.96579918448916
693,UCS,NCAN,4.47013176653762
694,ACC,NCAN,5.07267299126279
695,PCPG,NCAN,2.93762777804997
696,UVM,NCAN,3.74070974074802
697,GBM,OGN,6.74173993257037
698,OV,OGN,5.38111792215155
699,LUAD,OGN,5.20185068240074
700,LUSC,OGN,4.43337010177697
701,PRAD,OGN,8.20408420017988
702,UCEC,OGN,2.90685588558919
703,BLCA,OGN,2.81874059640805
704,TGCT,OGN,6.65967173857097
705,ESCA,OGN,4.39353266523583
706,PAAD,OGN,5.29100267163812
707,KIRP,OGN,1.99629700599605
708,LIHC,OGN,2.75749654314386
709,CESC,OGN,2.60269071202416
710,SARC,OGN,7.96819049132532
711,BRCA,OGN,5.99389665486956
712,THYM,OGN,5.32936617854949
713,MESO,OGN,8.69838277002374
714,COAD,OGN,2.73547699405364
715,STAD,OGN,7.19132632239637
716,SKCM,OGN,2.8653457849534
717,CHOL,OGN,3.90669672714241
718,KIRC,OGN,3.89465725513955
719,THCA,OGN,3.48867974477423
