gene
SDC1
SDC2
SDC3
SDC4
CSPG4
TGFBR3
PTPRZ1
GPC1
GPC2
GPC3
GPC4
GPC5
GPC6
SRGN
BGN
DCN
ASPN
ECM2
FMOD
LUM
PRELP
KERA
OMD
EPYC
OPTC
OGN
CHAD
NYX
TSKU
PODN
PODNL1
SPOCK1
SPOCK2
SPOCK3
ACAN
VCAN
NCAN
BCAN
HSPG2
AGRN
COL18A1
COL15A1
